Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,8000","-0,71","141,2000","139,6000",3.121,"438,16",09/04/2021,09:34:35,7.723.817
ACERINOX,"11,2750","-0,13","11,3250","11,2350",46.021,"519,61",09/04/2021,09:40:21,3.054.467
ACS,"27,7500","-0,29","27,9800","27,7200",31.879,"887,40",09/04/2021,09:40:04,8.645.796
AENA,"139,8000","-0,07","140,3500","139,3500",17.906,"2.501,21",09/04/2021,09:40:33,20.985.000
ALMIRALL,"12,5500","-0,48","12,6400","12,5100",34.429,"432,99",09/04/2021,09:37:29,2.246.038
AMADEUS,"59,8800","-0,99","60,4200","59,6200",34.937,"2.097,39",09/04/2021,09:39:46,27.246.192
ARCELORMIT.,"24,2600","-0,47","24,4550","24,2500",17.488,"425,65",09/04/2021,09:40:28,26.880.988
B.SANTANDER,"2,9215","-0,02","2,9410","2,9080",2.609.483,"7.640,44",09/04/2021,09:40:28,50.669.354
BA.SABADELL,"0,4583","-0,52","0,4644","0,4550",4.155.190,"1.905,92",09/04/2021,09:40:33,2.592.343
BANKINTER,"5,8680","-0,14","5,8960","5,8320",127.011,"744,87",09/04/2021,09:39:17,5.281.738
BBVA,"4,5095","-0,64","4,5620","4,4895",835.955,"3.783,73",09/04/2021,09:40:37,30.262.203
CAIXABANK,"2,5680","-0,43","2,5930","2,5570",754.353,"1.944,37",09/04/2021,09:40:37,20.788.409
CELLNEX,"41,9500","-0,12","42,1700","41,7200",294.515,"12.341,22",09/04/2021,09:40:37,20.441.764
CIE AUTOMOT.,"22,1000","-1,25","22,3800","22,0200",7.829,"173,97",09/04/2021,09:38:21,2.742.669
ENAGAS,"18,5350","-0,64","18,6950","18,5100",62.532,"1.166,15",09/04/2021,09:39:22,4.887.425
ENDESA,"22,8200","-0,61","23,0000","22,7700",51.324,"1.175,22",09/04/2021,09:38:15,24.308.949
FERROVIAL,"22,3500","-0,22","22,4300","22,0700",41.790,"929,57",09/04/2021,09:40:33,16.417.013
FLUIDRA,"25,3000","0,80","25,4500","25,1000",86.734,"2.193,52",09/04/2021,09:39:45,4.910.290
GRIFOLS CL.A,"23,3600","-0,13","23,5100","23,1700",56.828,"1.326,70",09/04/2021,09:40:09,9.967.176
IAG,"2,4750","-0,32","2,4960","2,4560",1.300.497,"3.220,21",09/04/2021,09:40:20,12.344.175
IBERDROLA,"11,5050","-0,26","11,5900","11,4900",671.132,"7.750,88",09/04/2021,09:40:34,74.033.429
INDITEX,"27,6900","-0,79","27,7800","27,5700",181.275,"5.013,06",09/04/2021,09:40:35,86.985.757
INDRA A,"7,4400","-0,13","7,5100","7,4300",103.439,"772,29",09/04/2021,09:39:42,1.316.075
INM.COLONIAL,"8,2450","-0,12","8,2450","8,1650",27.092,"222,79",09/04/2021,09:40:08,4.194.488
MAPFRE,"1,7850","-0,53","1,7990","1,7780",719.128,"1.283,53",09/04/2021,09:39:15,5.526.258
MELIA HOTELS,"6,5680","0,27","6,5960","6,5360",72.319,"474,74",09/04/2021,09:40:03,1.443.620
MERLIN,"9,0060","-0,79","9,0720","8,9320",40.263,"361,69",09/04/2021,09:40:04,4.264.579
NATURGY,"20,8800","-0,67","21,0200","20,8200",15.195,"317,90",09/04/2021,09:40:33,20.381.282
PHARMA MAR,"96,3800","-0,84","97,7200","96,2000",11.283,"1.095,89",09/04/2021,09:38:45,1.784.097
R.E.C.,"15,1100","-0,92","15,2300","15,0800",68.113,"1.032,75",09/04/2021,09:39:30,8.251.470
REPSOL,"10,2020","-0,04","10,2540","10,1740",465.721,"4.756,89",09/04/2021,09:40:19,16.001.891
SIEMENS GAME,"31,1300","-0,83","31,4700","30,9600",68.134,"2.126,00",09/04/2021,09:40:05,21.381.091
SOLARIA,"18,1350","-2,60","18,6350","18,0700",137.164,"2.510,49",09/04/2021,09:40:29,2.326.585
TELEFONICA,"3,8220","0,10","3,8400","3,8060",896.657,"3.428,11",09/04/2021,09:40:33,21.099.914
VISCOFAN,"59,9500","-0,33","60,2000","59,7000",5.377,"322,24",09/04/2021,09:38:45,2.796.975
